nest.id,nest,area,sub_area,year,Clutch_size,no.nestlings,prop.hatched,no.fledged,prop.fledged,A2_nestling,B2_nestling,A1_nestling,Clutch_initiation_date,Clutch_initiation_day,Nestbox,cover
N0100,nest_132,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0101,nest_136,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0102,nest_210,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0103,nest_309,4BS,4B2,2016,2,2,1,0,0,0,0,NA,29/05/2016,150,Yes,NA
N0104,nest_665,6N,6NUT,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0105,nest_R002,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,No,4
N0106,nest_R109,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0107,nest_R110,4BS,4B1,2016,2,1,0.5,0,0,0,NA,NA,29/05/2016,150,No,3
N0108,nest_R111,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,No,1
N0109,nest_R112,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,No,3
N0110,nest_1,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0111,nest_3,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0112,nest_5,4AS,4A1,2016,2,2,1,0,0,0,0,NA,30/05/2016,151,Yes,NA
N0113,nest_11,4AS,4A1,2016,2,2,1,0,0,0,0,NA,30/05/2016,151,Yes,NA
N0114,nest_19,4AS,4A1,2016,2,2,1,0,0,0,0,NA,30/05/2016,151,Yes,NA
N0115,nest_22,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0116,nest_27,4AS,4A1,2016,2,2,1,0,0,0,0,NA,30/05/2016,151,Yes,NA
N0117,nest_34,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0118,nest_53,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0119,nest_59,4AS,4A2,2016,2,2,1,0,0,0,0,NA,30/05/2016,151,Yes,NA
N0120,nest_127,4BS,4B1,2016,2,2,1,0,0,0,0,NA,30/05/2016,151,Yes,NA
N0121,nest_189,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0122,nest_201,6S,6SUT,2016,1,1,1,1,1,NA,NA,1,30/05/2016,151,Yes,NA
N0123,nest_205,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0124,nest_224,6N,6NUT,2016,2,2,1,0,0,0,0,NA,30/05/2016,151,Yes,NA
N0125,nest_311,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0126,nest_314,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0127,nest_318,4BS,4B2,2016,1,1,1,1,1,NA,NA,1,30/05/2016,151,Yes,NA
N0128,nest_R003,4AS,4A1,2016,2,1,0.5,0,0,0,NA,NA,30/05/2016,151,No,3
N0129,nest_R113,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,No,3
N0130,nest_R114,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0131,nest_R115,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,No,1
N0132,nest_R116,4AS,4A2,2016,2,1,0.5,1,1,1,NA,NA,30/05/2016,151,No,3
N0133,nest_R117,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,No,3
N0134,nest_R118,6S,6SUT,2016,2,1,0.5,1,1,1,NA,NA,30/05/2016,151,No,1
N0135,nest_R119,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,Yes,NA
N0136,nest_R120,G1E,G1E,2016,1,1,1,1,1,NA,NA,1,30/05/2016,151,No,4
N0137,nest_R121,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,30/05/2016,151,No,3
N0138,nest_4,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0139,nest_14,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0140,nest_35,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0141,nest_50,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0142,nest_58,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0143,nest_69,4AS,4A2,2016,2,1,0.5,1,1,1,NA,NA,31/05/2016,152,Yes,NA
N0144,nest_107,4BS,4B1,2016,1,1,1,0,0,NA,NA,0,31/05/2016,152,Yes,NA
N0145,nest_113,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0146,nest_118,4BS,4B1,2016,1,1,1,1,1,NA,NA,1,31/05/2016,152,Yes,NA
N0147,nest_135,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0148,nest_147,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0149,nest_216,6S,6SUT,2016,1,1,1,1,1,NA,NA,1,31/05/2016,152,Yes,NA
N0150,nest_303,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0151,nest_304,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0152,nest_445,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0153,nest_R004,4AS,4A1,2016,1,1,1,1,1,NA,NA,1,31/05/2016,152,No,3
N0154,nest_R005,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,No,2
N0155,nest_R006,6S,6SUT,2016,2,2,1,0,0,0,0,NA,31/05/2016,152,No,3
N0156,nest_R007,G5,G5,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,No,1
N0157,nest_R021,6N,6NUT,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,No,4
N0158,nest_R027,G5,G5,2016,1,1,1,0,0,NA,NA,0,31/05/2016,152,No,3
N0159,nest_R122,4AS,4A2,2016,2,2,1,0,0,0,0,NA,31/05/2016,152,No,1
N0160,nest_R123,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,No,4
N0161,nest_R124,4BS,4B1,2016,1,1,1,1,1,NA,NA,1,31/05/2016,152,No,3
N0162,nest_R125,4BS,4B1,2016,2,2,1,0,0,0,0,NA,31/05/2016,152,No,1
N0163,nest_R127,G1E,G1E,2016,1,1,1,1,1,NA,NA,1,31/05/2016,152,No,3
N0164,nest_R128,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,No,2
N0165,nest_R129,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,31/05/2016,152,Yes,NA
N0166,nest_R134,G1E,G1E,2016,1,1,1,1,1,NA,NA,1,31/05/2016,152,No,2
N0167,nest_R135,G1E,G1E,2016,2,1,0.5,1,1,1,NA,NA,31/05/2016,152,Yes,NA
N0168,nest_12,4AS,4A1,2016,2,1,0.5,0,0,0,NA,NA,01/06/2016,153,Yes,NA
N0169,nest_17,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,Yes,NA
N0170,nest_39,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,Yes,NA
N0171,nest_67,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,Yes,NA
N0172,nest_112,4BS,4B1,2016,2,1,0.5,1,1,1,NA,NA,01/06/2016,153,Yes,NA
N0173,nest_121,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,Yes,NA
N0174,nest_133,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,Yes,NA
N0175,nest_197,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,01/06/2016,153,Yes,NA
N0176,nest_199,6S,6SUT,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,Yes,NA
N0177,nest_200,6S,6SUT,2016,2,2,1,0,0,0,0,NA,01/06/2016,153,Yes,NA
N0178,nest_213,6S,6SUT,2016,1,1,1,1,1,NA,NA,1,01/06/2016,153,Yes,NA
