nest.id,nest,area,year,no.eggs,no.nestlings,prop.hatched,no.fledged,prop.fledged,clutch_initiation_date,clutch_initiation_day,box,cover
N0190,R131,4A2,2016,2,2,1,0,0,01/06/2016,153,No,2
N0191,R132,4A2,2016,2,1,0.5,0,0,01/06/2016,153,No,1
N0192,R133,4B1,2016,2,2,1,0,0,01/06/2016,153,No,4
N0193,R136,4A2,2016,2,2,1,1,0.5,01/06/2016,153,No,4
N0194,R137,4A2,2016,2,2,1,1,0.5,01/06/2016,153,No,2
N0195,R138,4A2,2016,2,2,1,0,0,01/06/2016,153,No,3
N0196,R139,4B1,2016,1,1,1,0,0,01/06/2016,153,No,2
N0197,R140,4B1,2016,2,2,1,1,0.5,01/06/2016,153,No,2
N0198,R141,6SUT,2016,2,1,0.5,1,1,01/06/2016,153,No,3
N0199,R142,G1E,2016,2,0,0,NA,NA,01/06/2016,153,No,2
N0200,40,4A1,2016,2,2,1,1,0.5,02/06/2016,154,Yes,NA
N0201,45,4A2,2016,2,2,1,1,0.5,02/06/2016,154,Yes,NA
N0202,66,4A2,2016,1,1,1,1,1,02/06/2016,154,Yes,NA
N0203,111,4B1,2016,2,2,1,1,0.5,02/06/2016,154,Yes,NA
N0204,129,4B1,2016,2,2,1,0,0,02/06/2016,154,Yes,NA
N0205,211,6SUT,2016,2,2,1,1,0.5,02/06/2016,154,Yes,NA
N0206,223,6NUT,2016,1,1,1,1,1,02/06/2016,154,Yes,NA
N0207,226,6NUT,2016,2,2,1,1,0.5,02/06/2016,154,Yes,NA
N0208,664,6NUT,2016,2,0,0,NA,NA,02/06/2016,154,Yes,NA
N0209,R015,4A1,2016,1,1,1,0,0,02/06/2016,154,No,2
N0210,R016,4B2,2016,2,2,1,0,0,02/06/2016,154,No,4
N0211,R017,6SMT,2016,2,2,1,0,0,02/06/2016,154,No,2
N0212,R018,6SMT,2016,2,2,1,0,0,02/06/2016,154,No,3
N0213,R019,6SMT,2016,2,0,0,NA,NA,02/06/2016,154,No,2
N0214,R130,4A2,2016,1,1,1,0,0,02/06/2016,154,No,1
